X,Y,OBJECTID,STREET_NAM,HOUSE_NUMB,Prefix,City,zip,PeoplesOpe
-158.067279956044928,21.333545542891788,1,Kamaaha Loop,1049,91,Kapolei,96707,Kapolei Community Park
-158.032749537358853,21.389209489850217,2,Kupuohi Street,640,94,Kunia,96797,Royal Kunia Park-n-Ride
-158.003280167504641,21.401058037997934,3,Lumiaina Street,870,94,Waikele,96797,Waikele Community Park
-157.809466367597139,21.313819324087127,4,Kaaipu Avenue,2721, ,Manoa,96822,Manoa Valley District Park
-157.837656994354234,21.302847655825076,5,Keeaumoku Street,1527, ,Makiki,96822,Makikik District Park
-157.858306148558626,21.299718586002758,6,Keeaumoku Street,525, ,Downtown,96813,Mother Waldron Park
-157.853798454601247,21.304775699193844,7,S Beretania Street,695, ,Downtown,96813,Frank Fasi Municipal Building
-157.692856652068684,21.330705152888328,8,Kalanianaole Hwy,741,41,Waimanalo,96795,Waimanalo Beach Park
-157.736500115506516,21.394912369599094,9,S Kainalu Drive,21, ,Kailua,96734,Kailua District Park
-157.808891544121821,21.409948090234774,10,Keaahala Road,660,45,Kaneohe,96744,Kaneohe District Park
-157.950547107501308,21.404879978811095,11,Kaahumanu Street,1650,98,Pearl City,96782,Waiau District Park
-158.000008234145099,21.388287426557351,12,Paiwa Street,230,94,Waipahu,96797,Waipahu District Park
-158.024282275840534,21.49855417698328,13,California Ave,1008, ,Wahiawa,96786,George Fred Wright Wahiawa Sistrict Park
-158.018618029502591,21.440662219160068,14,Lanikuhana Ave,1150,94,Mililani,96789,Milillani District Park
-157.914717597027703,21.373678359650015,15,Iwaiwa Street,795,99,Aiea,96701,Halawa District Park
-158.007403191676531,21.314645855430779,16,North Road,955,91,Ewa Beach,96706,Ewa Beach Community Park
-158.188868476503444,21.441823047075083,17,Pokai Bay Road,37,85,Waianae,96792,Pokai Bay Beach Park
-157.795986418284201,21.300354052244451,18,Palolo Ave,2007, ,Waialae,96816,Palolo Valley District Park
-157.826781344723912,21.293443601016424,19,South King Street,2237, ,Makiki,96826,Old Stadium Park
-157.816547419208689,21.267603888470347,20,Paki Street,3703, ,Waikiki,96815,Kapiolani Regional Park
-157.866509882570455,21.321152904689082,21,North King Street,800, ,Kapalama,96817,Banyan Court Mall
-157.878388904455079,21.327795169937652,22,Kalihi Street,700, ,Kalihi,96819,Kaumualii Street
-157.869795824259967,21.344486800970223,23,Kam IV Road,1911, ,Kalihi,96819,Kalihi Valley District Park
-157.90427245214687,21.346505136611167,24,Likini Street,5337, ,Honolulu,96818,Salt Lake Municipal Lot
-157.711475991592806,21.284653912579596,25,Keahole Street,300, ,Hawaii Kai,96825,Hawaii Kai Park-n-Ride
